AnalyseResidu, Ordre : , 4, Lambda : -1.0
 X , Y 
1.0,3044.096833333335
2.0,3024.041583333335
3.0,2693.6363333333347
4.0,2823.781083333335
5.0,2762.1758333333346
6.0,2474.1205833333343
7.0,2139.7153333333345
8.0,2084.8600833333344
9.0,1958.2548333333343
10.0,1557.199583333334
11.0,1160.7943333333342
12.0,1007.9390833333337
13.0,951.3338333333336
14.0,608.2785833333332
15.0,290.87333333333345
16.0,172.01808333333338
17.0,110.41283333333286
18.0,-284.64241666666703
19.0,-663.0476666666673
20.0,-858.9029166666669
21.0,-1001.5081666666674
22.0,-1408.5634166666673
23.0,-1805.9686666666676
24.0,-2010.823916666668
